번호,가게명_원본,주소_원본,검색확인명,주소_상호_검증,음식종류,대표메뉴,가게특징,추천상황,맛_스타일,혼밥,술자리,매운맛,따뜻한국물,가벼운식사,오늘뭐먹지_검색태그,오늘뭐먹지_추천문장,조사신뢰도,웹검증출처,네이버지도_재확인,카카오맵_재확인,조사일
11,만두의정석,서울 동작구 국사봉1길 45 1층 103호 (상도동),만두의정석,주소/상호 확인,만두·분식,"수제만두, 만두류",수제만두; 간식/가벼운 식사; 포장; 매콤 메뉴 정보,"간단한 점심, 간식, 포장, 가볍게","담백함, 촉촉함, 매콤 선택",◎,X,○,△,◎,"만두, 분식, 간단한 점심, 간식, 포장, 가볍게, 담백함, 촉촉함, 매콤 선택, 혼밥좋음, 가벼운식사",가볍고 부담 적은 메뉴를 먹고 싶은 날,중간,https://search.naver.com/search.naver?query=%EB%A7%8C%EB%91%90%EC%9D%98%EC%A0%95%EC%84%9D%20%EA%B5%AD%EC%82%AC%EB%B4%891%EA%B8%B8%2045,https://map.naver.com/p/search/%EB%A7%8C%EB%91%90%EC%9D%98%EC%A0%95%EC%84%9D%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EA%B5%AD%EC%82%AC%EB%B4%891%EA%B8%B8%2045%201%EC%B8%B5%20103%ED%98%B8%20%28%EC%83%81%EB%8F%84%EB%8F%99%29,https://map.kakao.com/?q=%EB%A7%8C%EB%91%90%EC%9D%98%EC%A0%95%EC%84%9D%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EA%B5%AD%EC%82%AC%EB%B4%891%EA%B8%B8%2045%201%EC%B8%B5%20103%ED%98%B8%20%28%EC%83%81%EB%8F%84%EB%8F%99%29,2026-09-14
12,티엔,서울 관악구 보라매로3길 8 1층 (봉천동),청티엔,상호명 차이: 같은 주소에서 청티엔 검색됨,중식,"짜장면, 짬뽕, 탕수육, 중식 식사류",중식당; 점심/저녁; 면·밥·요리 선택 가능,"점심, 가족식사, 중식, 여러 명 식사","불맛, 짭짤함, 얼큰함 선택",○,○,○,○,△,"중식, 점심, 가족식사, 여러 명 식사, 불맛, 짭짤함, 얼큰함 선택",중식 메뉴가 당기는 날,중간,https://search.naver.com/search.naver?query=%EC%B2%AD%ED%8B%B0%EC%97%94%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C3%EA%B8%B8%208,https://map.naver.com/p/search/%EC%B2%AD%ED%8B%B0%EC%97%94%20%EC%84%9C%EC%9A%B8%20%EA%B4%80%EC%95%85%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C3%EA%B8%B8%208%201%EC%B8%B5%20%28%EB%B4%89%EC%B2%9C%EB%8F%99%29,https://map.kakao.com/?q=%EC%B2%AD%ED%8B%B0%EC%97%94%20%EC%84%9C%EC%9A%B8%20%EA%B4%80%EC%95%85%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C3%EA%B8%B8%208%201%EC%B8%B5%20%28%EB%B4%89%EC%B2%9C%EB%8F%99%29,2026-09-14
13,서평면옥,서울 동작구 보라매로5길 15 전문건설회관 지하1층,서평면옥,주소/상호 확인,평양냉면·한식,"평양물냉면, 비빔냉면, 어복쟁반, 불고기, 만두전골",평양냉면 전문; 넓은 좌석; 룸/모임; 가족외식; 회식,"점심, 어른 모시고, 가족모임, 회식, 담백한 면","담백함, 슴슴함, 시원함, 전골은 뜨끈함",○,○,△,○,○,"평양냉면, 한식, 점심, 어른 모시고, 가족모임, 회식, 담백한 면, 담백함, 슴슴함, 시원함, 전골은 뜨끈함",평양냉면·한식 메뉴가 당기는 날,높음,https://search.naver.com/search.naver?query=%EC%84%9C%ED%8F%89%EB%A9%B4%EC%98%A5%20%EB%B3%B4%EB%9D%BC%EB%A7%A4,https://map.naver.com/p/search/%EC%84%9C%ED%8F%89%EB%A9%B4%EC%98%A5%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C5%EA%B8%B8%2015%20%EC%A0%84%EB%AC%B8%EA%B1%B4%EC%84%A4%ED%9A%8C%EA%B4%80%20%EC%A7%80%ED%95%981%EC%B8%B5,https://map.kakao.com/?q=%EC%84%9C%ED%8F%89%EB%A9%B4%EC%98%A5%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C5%EA%B8%B8%2015%20%EC%A0%84%EB%AC%B8%EA%B1%B4%EC%84%A4%ED%9A%8C%EA%B4%80%20%EC%A7%80%ED%95%981%EC%B8%B5,2026-09-14
14,뭉퉁 신대방삼거리역점,서울 동작구 상도로 54 1층 (대방동),뭉텅 신대방삼거리역점,원본 상호 오타 추정: 현재 검색상 뭉텅,돼지고기·주먹구이,"뭉텅 주먹구이, 육즙 삼겹살, 가브리살, 특밥, 청국장, 김치찌개",두툼한 돼지고기; 직원 구이 후기; 회식; 가족외식; 단체석; 예약,"고기 먹는 날, 회식, 가족외식, 퇴근 후 저녁","육즙, 고소함, 숯불/구이, 든든함",△,◎,△,○,X,"돼지고기, 주먹구이, 고기 먹는 날, 회식, 가족외식, 퇴근 후 저녁, 육즙, 고소함, 숯불, 구이, 든든함, 술자리좋음",저녁에 음식과 술을 같이 즐기고 싶은 날,높음,https://www.daangn.com/kr/local-profile/%EB%AD%89%ED%85%85-%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90-rhfzqfxvncrq/,https://map.naver.com/p/search/%EB%AD%89%ED%85%85%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%A1%9C%2054%201%EC%B8%B5%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EB%AD%89%ED%85%85%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%A1%9C%2054%201%EC%B8%B5%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
15,단길,서울 동작구 보라매로 96-1 1층 (신대방동),단길,주소/상호 확인,이자카야·술집,"모둠사시미, 밀푀유나베, 곱도리탕, 나가사끼짬뽕, 감바스",안주 종류 다양; 이자카야; 술모임; 저녁/심야; 분위기 있는 술집,"데이트, 술자리, 2차, 친구모임","감칠맛, 짭짤함, 국물/매콤 선택",△,◎,○,○,X,"이자카야, 술집, 데이트, 술자리, 2차, 친구모임, 감칠맛, 짭짤함, 국물, 매콤 선택, 술자리좋음",저녁에 음식과 술을 같이 즐기고 싶은 날,높음,https://search.naver.com/search.naver?query=%EB%8B%A8%EA%B8%B8%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2096-1,https://map.naver.com/p/search/%EB%8B%A8%EA%B8%B8%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2096-1%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EB%8B%A8%EA%B8%B8%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2096-1%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
16,품미,서울 동작구 국사봉길 13 1층 (상도동),품미,주소/상호 확인,중식,"유니짜장면, 짬뽕, 볶음밥, 탕수육",깔끔한 중식당; 혼밥 가능; 면/밥/요리 구성,"점심, 혼밥, 중식, 탕수육 같이 먹기","불맛, 달큰함, 얼큰함 선택",◎,○,○,○,△,"중식, 점심, 혼밥, 탕수육 같이 먹기, 불맛, 달큰함, 얼큰함 선택, 혼밥좋음",중식 메뉴가 당기는 날,높음,https://search.naver.com/search.naver?query=%ED%92%88%EB%AF%B8%20%EA%B5%AD%EC%82%AC%EB%B4%89%EA%B8%B8%2013,https://map.naver.com/p/search/%ED%92%88%EB%AF%B8%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EA%B5%AD%EC%82%AC%EB%B4%89%EA%B8%B8%2013%201%EC%B8%B5%20%28%EC%83%81%EB%8F%84%EB%8F%99%29,https://map.kakao.com/?q=%ED%92%88%EB%AF%B8%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EA%B5%AD%EC%82%AC%EB%B4%89%EA%B8%B8%2013%201%EC%B8%B5%20%28%EC%83%81%EB%8F%84%EB%8F%99%29,2026-09-14
17,인생곱창 본점,서울 동작구 상도로12길 5-4 유천빌딩 1층 (상도동),인생곱창,주소/상호 확인; 검색상 상호는 인생곱창,소곱창·대창·막창,"특양구이, 곱창구이, 막창구이, 대창구이, 양념대창, 모듬구이, 염통구이, 볶음밥",소곱창 전문; 퇴근 후 술자리; 웨이팅 후기; 활기찬 분위기,"저녁, 술자리, 친구모임, 곱창 땡길 때","고소함, 바삭·촉촉, 진한맛, 구이",△,◎,△,X,X,"소곱창, 대창, 막창, 저녁, 술자리, 친구모임, 곱창 땡길 때, 고소함, 바삭, 촉촉, 진한맛, 구이, 술자리좋음",저녁에 음식과 술을 같이 즐기고 싶은 날,높음,https://www.diningcode.com/profile.php?rid=2Wman0VGAXVd,https://map.naver.com/p/search/%EC%9D%B8%EC%83%9D%EA%B3%B1%EC%B0%BD%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%A1%9C12%EA%B8%B8%205-4%20%EC%9C%A0%EC%B2%9C%EB%B9%8C%EB%94%A9%201%EC%B8%B5%20%28%EC%83%81%EB%8F%84%EB%8F%99%29,https://map.kakao.com/?q=%EC%9D%B8%EC%83%9D%EA%B3%B1%EC%B0%BD%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%A1%9C12%EA%B8%B8%205-4%20%EC%9C%A0%EC%B2%9C%EB%B9%8C%EB%94%A9%201%EC%B8%B5%20%28%EC%83%81%EB%8F%84%EB%8F%99%29,2026-09-14
18,서민준밀밭,서울 동작구 상도로12길 7 1층 (상도동),서민준밀밭,주소/상호 확인,칼국수·콩국수·수제비,"콩국수, 검정콩국수, 바지락칼국수, 들깨수제비, 만두",면요리; 국내산 콩 정보; 혼밥; 계절별 국수; 든든한 점심,"점심, 혼밥, 여름 콩국수, 비 오는 날 칼국수","고소함, 담백함, 시원/뜨끈 선택",◎,X,X,◎,○,"칼국수, 콩국수, 수제비, 점심, 혼밥, 여름 콩국수, 비 오는 날 칼국수, 고소함, 담백함, 시원, 뜨끈 선택, 혼밥좋음, 국물",따뜻한 국물 한 끼가 당기는 날,높음,https://search.naver.com/search.naver?query=%EC%84%9C%EB%AF%BC%EC%A4%80%EB%B0%80%EB%B0%AD%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC,https://map.naver.com/p/search/%EC%84%9C%EB%AF%BC%EC%A4%80%EB%B0%80%EB%B0%AD%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%A1%9C12%EA%B8%B8%207%201%EC%B8%B5%20%28%EC%83%81%EB%8F%84%EB%8F%99%29,https://map.kakao.com/?q=%EC%84%9C%EB%AF%BC%EC%A4%80%EB%B0%80%EB%B0%AD%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%A1%9C12%EA%B8%B8%207%201%EC%B8%B5%20%28%EC%83%81%EB%8F%84%EB%8F%99%29,2026-09-14
19,원조부안집 신대방삼거리점,서울 동작구 상도로12길 20 (대방동),원조부안집 신대방삼거리역점,지점명 표기 차이 있으나 주소 일치,돼지고기구이,"육즙목살, 숙성삼겹살, 쫀득살, 원조한판, 특수한판, 물쫄면, 된장술밥",돼지고기 전문; 회식; 모임; 셀프바; 저녁; 여러 부위 한판 구성,"회식, 친구모임, 고기 먹는 날, 저녁","육즙, 고소함, 구이, 진한맛",△,◎,△,○,X,"돼지고기구이, 회식, 친구모임, 고기 먹는 날, 저녁, 육즙, 고소함, 구이, 진한맛, 술자리좋음",저녁에 음식과 술을 같이 즐기고 싶은 날,높음,https://www.diningcode.com/profile.php?rid=8l3XZP3zfaO6,https://map.naver.com/p/search/%EC%9B%90%EC%A1%B0%EB%B6%80%EC%95%88%EC%A7%91%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%A1%9C12%EA%B8%B8%2020%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EC%9B%90%EC%A1%B0%EB%B6%80%EC%95%88%EC%A7%91%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%A1%9C12%EA%B8%B8%2020%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
20,샐러디 신대방삼거리역점,서울 동작구 상도로 77 1층 (대방동),샐러디 신대방삼거리역점,주소/상호 확인,샐러드·웜볼·포케,"샐러드, 웜볼, 포케/메밀면볼, 샌드위치",건강식; 다이어트; 혼밥; 포장; 채식 선택지,"점심, 다이어트, 가볍게, 운동 전후, 혼밥","신선함, 담백함, 산뜻함",◎,X,△,X,◎,"샐러드, 웜볼, 포케, 점심, 다이어트, 가볍게, 운동 전후, 혼밥, 신선함, 담백함, 산뜻함, 혼밥좋음, 가벼운식사",가볍고 부담 적은 메뉴를 먹고 싶은 날,높음,https://search.naver.com/search.naver?query=%EC%83%90%EB%9F%AC%EB%94%94%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90,https://map.naver.com/p/search/%EC%83%90%EB%9F%AC%EB%94%94%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%A1%9C%2077%201%EC%B8%B5%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EC%83%90%EB%9F%AC%EB%94%94%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%A1%9C%2077%201%EC%B8%B5%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
21,오다 신대방삼거리점,서울 동작구 보라매로 96 1층 (신대방동),오다 신대방삼거리점,주소/상호 확인,퓨전 이자카야,"게내장크림우동파스타, 사시미 한상, 훈연 베이징덕, 치킨난반, 뇨끼",퓨전 안주; 분위기 좋은 술집; 데이트; 예약 권장; 저녁,"데이트, 술자리, 특별한 저녁, 2차","감칠맛, 크리미, 짭짤함, 퓨전",△,◎,△,△,X,"퓨전 이자카야, 데이트, 술자리, 특별한 저녁, 2차, 감칠맛, 크리미, 짭짤함, 퓨전, 술자리좋음",저녁에 음식과 술을 같이 즐기고 싶은 날,높음,https://search.naver.com/search.naver?query=%EC%98%A4%EB%8B%A4%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%A0%90%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2096,https://map.naver.com/p/search/%EC%98%A4%EB%8B%A4%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2096%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EC%98%A4%EB%8B%A4%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2096%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
22,초밥24 신대방점,서울 동작구 보라매로 98 1층 (신대방동),초밥24 신대방점,주소/업종 확인; 상세 메뉴 노출 제한,초밥·일식,"모둠초밥, 초밥세트, 회/일식류 (상세 구성 재확인 권장)",초밥 전문; 빠른 일식 한 끼; 혼밥/포장에 적합한 유형,"점심, 혼밥, 초밥 땡길 때, 포장","담백함, 생선, 간장, 와사비",◎,△,X,△,○,"초밥, 일식, 점심, 혼밥, 초밥 땡길 때, 포장, 담백함, 생선, 간장, 와사비, 혼밥좋음",초밥·일식 메뉴가 당기는 날,중간,https://search.naver.com/search.naver?query=%EC%B4%88%EB%B0%A524%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%A0%90%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2098,https://map.naver.com/p/search/%EC%B4%88%EB%B0%A524%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2098%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EC%B4%88%EB%B0%A524%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2098%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
23,차오야끼,서울 동작구 국사봉1길 18 1층 1002-1호 (상도동),차오야끼,주소/상호 확인,일본식 중화·퓨전,"새우가지딤섬, 나가사키짬뽕탕, 탄탄면, 야끼소바 계열",일본식 중화; 혼술; 혼밥; 술안주; 개성 있는 면/탕 메뉴,"혼술, 술자리, 이색 메뉴, 저녁","불맛, 고소함, 매콤함, 감칠맛",◎,◎,○,○,△,"일본식 중화, 퓨전, 혼술, 술자리, 이색 메뉴, 저녁, 불맛, 고소함, 매콤함, 감칠맛, 혼밥좋음, 술자리좋음",저녁에 음식과 술을 같이 즐기고 싶은 날,높음,https://search.naver.com/search.naver?query=%EC%B0%A8%EC%98%A4%EC%95%BC%EB%81%BC%20%EA%B5%AD%EC%82%AC%EB%B4%891%EA%B8%B8%2018,https://map.naver.com/p/search/%EC%B0%A8%EC%98%A4%EC%95%BC%EB%81%BC%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EA%B5%AD%EC%82%AC%EB%B4%891%EA%B8%B8%2018%201%EC%B8%B5%201002-1%ED%98%B8%20%28%EC%83%81%EB%8F%84%EB%8F%99%29,https://map.kakao.com/?q=%EC%B0%A8%EC%98%A4%EC%95%BC%EB%81%BC%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EA%B5%AD%EC%82%AC%EB%B4%891%EA%B8%B8%2018%201%EC%B8%B5%201002-1%ED%98%B8%20%28%EC%83%81%EB%8F%84%EB%8F%99%29,2026-09-14
24,빨강돼지,서울 동작구 대방동길 7 1층 (대방동),빨강돼지,주소/상호 확인,돼지고기·철판볶음,"삼겹살, 돼지볶음/철판구이 계열",돼지고기 중심; 철판 스타일; 저녁 식사; 술안주,"저녁, 술자리, 돼지고기, 매콤한 볶음","매콤함, 구이/볶음, 진한 양념",△,◎,○,X,X,"돼지고기, 철판볶음, 저녁, 술자리, 매콤한 볶음, 매콤함, 구이, 볶음, 진한 양념, 술자리좋음",저녁에 음식과 술을 같이 즐기고 싶은 날,중간,https://search.naver.com/search.naver?query=%EB%B9%A8%EA%B0%95%EB%8F%BC%EC%A7%80%20%EB%8C%80%EB%B0%A9%EB%8F%99%EA%B8%B8%207,https://map.naver.com/p/search/%EB%B9%A8%EA%B0%95%EB%8F%BC%EC%A7%80%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%8C%80%EB%B0%A9%EB%8F%99%EA%B8%B8%207%201%EC%B8%B5%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EB%B9%A8%EA%B0%95%EB%8F%BC%EC%A7%80%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%8C%80%EB%B0%A9%EB%8F%99%EA%B8%B8%207%201%EC%B8%B5%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
25,상도감자탕,서울 동작구 국사봉길 12 1층 105호 (신대방동),상도감자탕,주소/상호 확인,감자탕·뼈해장국,"뼈다귀전골, 뼈해장국, 만두",뜨끈한 국물; 혼밥; 해장; 얼큰한 식사; 전골은 여럿이 먹기 좋음,"해장, 혼밥, 추운 날, 비 오는 날, 저녁","얼큰함, 진한 국물, 뜨끈함",◎,○,○,◎,X,"감자탕, 뼈해장국, 해장, 혼밥, 추운 날, 비 오는 날, 저녁, 얼큰함, 진한 국물, 뜨끈함, 혼밥좋음, 국물",따뜻한 국물 한 끼가 당기는 날,높음,https://search.naver.com/search.naver?query=%EC%83%81%EB%8F%84%EA%B0%90%EC%9E%90%ED%83%95%20%EA%B5%AD%EC%82%AC%EB%B4%89%EA%B8%B8%2012,https://map.naver.com/p/search/%EC%83%81%EB%8F%84%EA%B0%90%EC%9E%90%ED%83%95%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EA%B5%AD%EC%82%AC%EB%B4%89%EA%B8%B8%2012%201%EC%B8%B5%20105%ED%98%B8%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EC%83%81%EB%8F%84%EA%B0%90%EC%9E%90%ED%83%95%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EA%B5%AD%EC%82%AC%EB%B4%89%EA%B8%B8%2012%201%EC%B8%B5%20105%ED%98%B8%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
26,시간을들이다 본점,서울 동작구 보라매로 80 1층 (신대방동),시간을들이다 본점,주소/상호 확인,베이커리·카페,"초코크림크로와상, 슈크림크로와상, 카라멜소금크로와상, 감자치아바타, 케이크류",크로와상·빵 전문; 디저트; 포장; 카페/간식,"간식, 디저트, 커피와 빵, 가볍게","버터향, 달콤함, 바삭함, 부드러움",◎,X,X,X,○,"베이커리, 카페, 간식, 디저트, 커피와 빵, 가볍게, 버터향, 달콤함, 바삭함, 부드러움, 혼밥좋음",베이커리·카페 메뉴가 당기는 날,높음,https://search.naver.com/search.naver?query=%EC%8B%9C%EA%B0%84%EC%9D%84%EB%93%A4%EC%9D%B4%EB%8B%A4%20%EB%B3%B8%EC%A0%90%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2080,https://map.naver.com/p/search/%EC%8B%9C%EA%B0%84%EC%9D%84%EB%93%A4%EC%9D%B4%EB%8B%A4%20%EB%B3%B8%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2080%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EC%8B%9C%EA%B0%84%EC%9D%84%EB%93%A4%EC%9D%B4%EB%8B%A4%20%EB%B3%B8%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2080%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
27,Moo Moo,서울 동작구 여의대방로24길 66 1층 (신대방동),Moo Moo,주소/상호 확인,브런치·파스타,"화이트 라구 파스타, 부라타 토마토 파스타, 봉골레, 갈릭버터 쉬림프 라이스, 브런치 메뉴",브런치 카페; 파스타; 아늑한 분위기; 데이트; 낮 식사,"브런치, 데이트, 여유로운 점심, 파스타","고소함, 크리미, 산뜻함, 양식",○,○,△,X,○,"브런치, 파스타, 데이트, 여유로운 점심, 고소함, 크리미, 산뜻함, 양식",브런치·파스타 메뉴가 당기는 날,높음,https://search.naver.com/search.naver?query=Moo%20Moo%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C24%EA%B8%B8%2066,https://map.naver.com/p/search/Moo%20Moo%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C24%EA%B8%B8%2066%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=Moo%20Moo%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C24%EA%B8%B8%2066%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
