"관리번호","자치구","와이파이명","도로명주소","설치유형","설치기관","서비스구분","망종류","설치년도","실내외구분","Y좌표","X좌표","작업일자"
"ARI00009","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.956"
"ARI00010","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.957"
"ARI00011","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.957"
"ARI00012","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.957"
"ARI00013","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.957"
"ARI00014","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.957"
"ARI00015","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.957"
"ARI00016","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.957"
"ARI00018","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.957"
"ARI00019","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.963"
"ARI00020","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.963"
"ARI00021","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.963"
"ARI00022","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.963"
"ARI00023","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.963"
"ARI00024","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.963"
"ARI00025","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.964"
"ARI00026","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.964"
"ARI00027","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.964"
"DJ2023-AP-112","동작구","도림천 산책로2","","1. 주요거리","자치구","공공WiFi","자가망","2023","실외","37.486725","126.91079","2026-09-08 03:00:12.998"
"ARI00028","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.964"
"ARI00029","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.964"
"ARI00030","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.964"
"ARI00031","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.964"
"ARI00032","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.964"
"ARI00033","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.964"
"ARI00034","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.964"
"ARI00035","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.964"
"ARI00036","중구","중부수도사업소","장충단로 88","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.553608","127.0031","2026-09-08 03:00:12.964"
"ARI00037","중구","중부수도사업소","장충단로 88","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.553608","127.0031","2026-09-08 03:00:12.964"
"ARI00038","중구","중부수도사업소","장충단로 88","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.553608","127.0031","2026-09-08 03:00:12.964"
"ARI00039","중구","중부수도사업소","장충단로 88","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.553608","127.0031","2026-09-08 03:00:12.964"
"ARI00040","중구","중부수도사업소","장충단로 88","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.553608","127.0031","2026-09-08 03:00:12.964"
"ARI00041","중구","중부수도사업소","장충단로 88","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.553608","127.0031","2026-09-08 03:00:12.965"
"ARI00042","중구","중부수도사업소","장충단로 88","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.553608","127.0031","2026-09-08 03:00:12.965"
"ARI00043","중구","중부수도사업소","장충단로 88","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.553608","127.0031","2026-09-08 03:00:12.965"
"ARI00044","중구","중부수도사업소","장충단로 88","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.553608","127.0031","2026-09-08 03:00:12.965"
"ARI00045","중구","중부수도사업소","장충단로 88","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.553608","127.0031","2026-09-08 03:00:12.965"
"ARI00046","중구","중부수도사업소","장충단로 88","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.553608","127.0031","2026-09-08 03:00:12.965"
"ARI00047","중구","중부수도사업소","장충단로 88","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.553608","127.0031","2026-09-08 03:00:12.965"
"ARI00048","중구","중부수도사업소","장충단로 88","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.553608","127.0031","2026-09-08 03:00:12.965"
"ARI00049","중구","중부수도사업소","장충단로 88","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.553608","127.0031","2026-09-08 03:00:12.965"
"ARI00050","중구","중부수도사업소","장충단로 88","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.553608","127.0031","2026-09-08 03:00:12.965"
"ARI00051","중구","중부수도사업소","장충단로 88","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.553608","127.0031","2026-09-08 03:00:12.965"
"ARI00052","중구","중부수도사업소","장충단로 88","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.553608","127.0031","2026-09-08 03:00:12.965"
"ARI00053","중구","중부수도사업소","장충단로 88","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.553608","127.0031","2026-09-08 03:00:12.965"
"ARI00054","중구","중부수도사업소","장충단로 88","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.553608","127.0031","2026-09-08 03:00:12.965"
"ARI00055","서대문구","서부수도사업소","통일로26길 41","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.583054","126.952415","2026-09-08 03:00:12.965"
"ARI00056","서대문구","서부수도사업소","통일로26길 41","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.583054","126.952415","2026-09-08 03:00:12.965"
"ARI00057","서대문구","서부수도사업소","통일로26길 41","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.583054","126.952415","2026-09-08 03:00:12.965"
"ARI00058","서대문구","서부수도사업소","통일로26길 41","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.583054","126.952415","2026-09-08 03:00:12.965"
"ARI00059","서대문구","서부수도사업소","통일로26길 41","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.583054","126.952415","2026-09-08 03:00:12.965"
"ARI00060","서대문구","서부수도사업소","통일로26길 41","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.583054","126.952415","2026-09-08 03:00:12.965"
"ARI00061","서대문구","서부수도사업소","통일로26길 41","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.583054","126.952415","2026-09-08 03:00:12.965"
"ARI00062","서대문구","서부수도사업소","통일로26길 41","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.583054","126.952415","2026-09-08 03:00:12.965"
"ARI00063","서대문구","서부수도사업소","통일로26길 41","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.583054","126.952415","2026-09-08 03:00:12.965"
"ARI00064","서대문구","서부수도사업소","통일로26길 41","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.583054","126.952415","2026-09-08 03:00:12.965"
"ARI00065","서대문구","서부수도사업소","통일로26길 41","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.583054","126.952415","2026-09-08 03:00:12.965"
"ARI00066","서대문구","서부수도사업소","통일로26길 41","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.583054","126.952415","2026-09-08 03:00:12.965"
"ARI00067","서대문구","서부수도사업소","통일로26길 41","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.583054","126.952415","2026-09-08 03:00:12.965"
"ARI00068","서대문구","서부수도사업소","통일로26길 41","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.583054","126.952415","2026-09-08 03:00:12.965"
"ARI00069","서대문구","서부수도사업소","통일로26길 41","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.583054","126.952415","2026-09-08 03:00:12.965"
"ARI00070","서대문구","서부수도사업소","통일로26길 41","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.583054","126.952415","2026-09-08 03:00:12.965"
"ARI00071","서대문구","서부수도사업소","통일로26길 41","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.583054","126.952415","2026-09-08 03:00:12.965"
"ARI00073","성동구","동부수도사업소","고산자로10길 13","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.55928","127.03539","2026-09-08 03:00:12.965"
"ARI00074","성동구","동부수도사업소","고산자로10길 13","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.55928","127.03539","2026-09-08 03:00:12.965"
"ARI00075","성동구","동부수도사업소","고산자로10길 13","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.55928","127.03539","2026-09-08 03:00:12.965"
"ARI00076","성동구","동부수도사업소","고산자로10길 13","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.55928","127.03539","2026-09-08 03:00:12.965"
"ARI00077","성동구","동부수도사업소","고산자로10길 13","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.55928","127.03539","2026-09-08 03:00:12.966"
"ARI00078","성동구","동부수도사업소","고산자로10길 13","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.55928","127.03539","2026-09-08 03:00:12.966"
"ARI00079","성동구","동부수도사업소","고산자로10길 13","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.55928","127.03539","2026-09-08 03:00:12.966"
"ARI00080","성동구","동부수도사업소","고산자로10길 13","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.55928","127.03539","2026-09-08 03:00:12.966"
"ARI00081","성동구","동부수도사업소","고산자로10길 13","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.55928","127.03539","2026-09-08 03:00:12.966"
"ARI00083","성동구","동부수도사업소","고산자로10길 13","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.55928","127.03539","2026-09-08 03:00:12.966"
"ARI00084","성동구","동부수도사업소","고산자로10길 13","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.55928","127.03539","2026-09-08 03:00:12.966"
"ARI00085","성동구","동부수도사업소","고산자로10길 13","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.55928","127.03539","2026-09-08 03:00:12.966"
"ARI00086","성동구","동부수도사업소","고산자로10길 13","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.55928","127.03539","2026-09-08 03:00:12.966"
"ARI00087","성동구","동부수도사업소","고산자로10길 13","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.55928","127.03539","2026-09-08 03:00:12.966"
"ARI00088","성동구","동부수도사업소","고산자로10길 13","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.55928","127.03539","2026-09-08 03:00:12.966"
"ARI00089","성동구","동부수도사업소","고산자로10길 13","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.55928","127.03539","2026-09-08 03:00:12.966"
"ARI00090","강북구","북부수도사업소","한천로 935","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.634155","127.036125","2026-09-08 03:00:12.966"
"ARI00091","강북구","북부수도사업소","한천로 935","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.634155","127.036125","2026-09-08 03:00:12.966"
"ARI00092","강북구","북부수도사업소","한천로 935","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.634155","127.036125","2026-09-08 03:00:12.966"
"ARI00093","강북구","북부수도사업소","한천로 935","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.634155","127.036125","2026-09-08 03:00:12.966"
"ARI00094","강북구","북부수도사업소","한천로 935","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.634155","127.036125","2026-09-08 03:00:12.966"
"ARI00095","강북구","북부수도사업소","한천로 935","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.634155","127.036125","2026-09-08 03:00:12.966"
"ARI00096","강북구","북부수도사업소","한천로 935","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.634155","127.036125","2026-09-08 03:00:12.966"
"ARI00097","강북구","북부수도사업소","한천로 935","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.634155","127.036125","2026-09-08 03:00:12.966"
"ARI00098","강북구","북부수도사업소","한천로 935","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.634155","127.036125","2026-09-08 03:00:12.966"
"ARI00099","강북구","북부수도사업소","한천로 935","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.634155","127.036125","2026-09-08 03:00:12.966"
"ARI00100","강북구","북부수도사업소","한천로 935","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.634155","127.036125","2026-09-08 03:00:12.966"
"ARI00101","강북구","북부수도사업소","한천로 935","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.634155","127.036125","2026-09-08 03:00:12.966"
"ARI00102","강북구","북부수도사업소","한천로 935","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.634155","127.036125","2026-09-08 03:00:12.966"
"ARI00103","강북구","북부수도사업소","한천로 935","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.634155","127.036125","2026-09-08 03:00:12.966"
"ARI00104","강북구","북부수도사업소","한천로 935","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.634155","127.036125","2026-09-08 03:00:12.966"
"ARI00105","강북구","북부수도사업소","한천로 935","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.634155","127.036125","2026-09-08 03:00:12.966"
"ARI00106","강북구","북부수도사업소","한천로 935","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.634155","127.036125","2026-09-08 03:00:12.966"
"ARI00107","강북구","북부수도사업소","한천로 935","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.634155","127.036125","2026-09-08 03:00:12.966"
"ARI00108","강북구","북부수도사업소","한천로 935","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.634155","127.036125","2026-09-08 03:00:12.966"
"ARI00109","양천구","강서수도사업소","목동동로 151","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.519573","126.86976","2026-09-08 03:00:12.966"
"ARI00110","양천구","강서수도사업소","목동동로 151","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.519573","126.86976","2026-09-08 03:00:12.966"
"ARI00112","양천구","강서수도사업소","목동동로 151","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.519573","126.86976","2026-09-08 03:00:12.966"
"ARI00113","양천구","강서수도사업소","목동동로 151","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.519573","126.86976","2026-09-08 03:00:12.966"
"ARI00114","양천구","강서수도사업소","목동동로 151","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.519573","126.86976","2026-09-08 03:00:12.966"
"ARI00115","양천구","강서수도사업소","목동동로 151","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.519573","126.86976","2026-09-08 03:00:12.966"
"ARI00116","양천구","강서수도사업소","목동동로 151","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.519573","126.86976","2026-09-08 03:00:12.966"
"ARI00117","양천구","강서수도사업소","목동동로 151","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.519573","126.86976","2026-09-08 03:00:12.966"
"ARI00118","양천구","강서수도사업소","목동동로 151","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.519573","126.86976","2026-09-08 03:00:12.966"
"ARI00119","양천구","강서수도사업소","목동동로 151","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.519573","126.86976","2026-09-08 03:00:12.966"
"ARI00120","양천구","강서수도사업소","목동동로 151","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.519573","126.86976","2026-09-08 03:00:12.966"
"ARI00121","양천구","강서수도사업소","목동동로 151","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.519573","126.86976","2026-09-08 03:00:12.967"
"ARI00124","양천구","강서수도사업소","목동동로 151","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.519573","126.86976","2026-09-08 03:00:12.967"
"ARI00125","양천구","강서수도사업소","목동동로 151","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.519573","126.86976","2026-09-08 03:00:12.967"
"ARI00126","양천구","강서수도사업소","목동동로 151","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.519573","126.86976","2026-09-08 03:00:12.967"
"ARI00127","양천구","강서수도사업소","목동동로 151","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.519573","126.86976","2026-09-08 03:00:12.967"
"ARI00128","양천구","강서수도사업소","목동동로 151","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.519573","126.86976","2026-09-08 03:00:12.967"
"ARI00129","양천구","강서수도사업소","목동동로 151","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.519573","126.86976","2026-09-08 03:00:12.967"
"ARI00130","양천구","강서수도사업소","목동동로 151","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.519573","126.86976","2026-09-08 03:00:12.967"
"ARI00131","양천구","강서수도사업소","목동동로 151","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.519573","126.86976","2026-09-08 03:00:12.967"
"ARI00132","양천구","강서수도사업소","목동동로 151","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.519573","126.86976","2026-09-08 03:00:12.967"
"ARI00133","동작구","남부수도사업소","여의대방로10길 97","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.492393","126.915","2026-09-08 03:00:12.967"
"ARI00134","동작구","남부수도사업소","여의대방로10길 97","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.492393","126.915","2026-09-08 03:00:12.967"
"ARI00135","동작구","남부수도사업소","여의대방로10길 97","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.492393","126.915","2026-09-08 03:00:12.967"
"ARI00136","동작구","남부수도사업소","여의대방로10길 97","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.492393","126.915","2026-09-08 03:00:12.967"
"ARI00137","동작구","남부수도사업소","여의대방로10길 97","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.492393","126.915","2026-09-08 03:00:12.967"
"ARI00138","동작구","남부수도사업소","여의대방로10길 97","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.492393","126.915","2026-09-08 03:00:12.967"
"ARI00139","동작구","남부수도사업소","여의대방로10길 97","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.492393","126.915","2026-09-08 03:00:12.967"
"ARI00140","동작구","남부수도사업소","여의대방로10길 97","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.492393","126.915","2026-09-08 03:00:12.967"
